,,mean,std
always_wake,accuracy,0.31784305017411774,0.11591550021522641
always_wake,precision,0.0,0.0
always_wake,recall,0.0,0.0
always_wake,f1,0.0,0.0
always_wake,kappa,0.0,0.0
always_wake,specificity,1.0,0.0
always_wake,mcc,0.0,0.0
always_wake,sleep_onset,0.0,0.0
always_wake,wake_onset,0.0,0.0
always_wake,total_sleep_duration,0.0,0.0
always_wake,net_sleep_duration,0.0,0.0
always_wake,bed_interval_start,0.0,0.0
always_wake,bed_interval_end,0.0,0.0
always_wake,sleep_efficiency,0.0,0.0
always_wake,sleep_onset_latency,0.0,0.0
always_wake,getup_latency,0.0,0.0
always_wake,wake_after_sleep_onset,0.0,0.0
always_sleep,accuracy,0.6821569498258826,0.11591550021522641
always_sleep,precision,0.6821569498258826,0.11591550021522641
always_sleep,recall,1.0,0.0
always_sleep,f1,0.8050817555157747,0.08721059567370897
always_sleep,kappa,0.0,0.0
always_sleep,specificity,0.0,0.0
always_sleep,mcc,0.0,0.0
always_sleep,sleep_onset,74.76428571428572,71.4831999450055
always_sleep,wake_onset,1046.5116071428572,157.5581650661288
always_sleep,total_sleep_duration,972.7473214285715,159.06779792271715
always_sleep,net_sleep_duration,972.7473214285715,159.06779792271715
always_sleep,bed_interval_start,74.76428571428572,71.4831999450055
always_sleep,bed_interval_end,1046.5116071428572,157.5581650661288
always_sleep,sleep_efficiency,100.0,0.0
always_sleep,sleep_onset_latency,0.0,0.0
always_sleep,getup_latency,0.0,0.0
always_sleep,wake_after_sleep_onset,0.0,0.0
ground_truth,accuracy,1.0,0.0
ground_truth,precision,1.0,0.0
ground_truth,recall,1.0,0.0
ground_truth,f1,1.0,0.0
ground_truth,kappa,1.0,0.0
ground_truth,specificity,1.0,0.0
ground_truth,mcc,1.0,0.0
ground_truth,sleep_onset,135.86160714285714,103.54646739860439
ground_truth,wake_onset,1040.8973214285713,158.13932385070248
ground_truth,total_sleep_duration,972.7473214285715,159.06779792271715
ground_truth,net_sleep_duration,740.7830357142857,148.60963094898688
ground_truth,bed_interval_start,74.76428571428572,71.4831999450055
ground_truth,bed_interval_end,1046.5116071428572,157.5581650661288
ground_truth,sleep_efficiency,76.65387265809854,12.292405458598285
ground_truth,sleep_onset_latency,61.097321428571426,87.92623437664719
ground_truth,getup_latency,5.614285714285714,23.003115370246753
ground_truth,wake_after_sleep_onset,150.3669642857143,109.02620462766085
