,,mean,std
always_wake,accuracy,0.31576587329949596,0.11572707607098788
always_wake,precision,0.0,0.0
always_wake,recall,0.0,0.0
always_wake,f1,0.0,0.0
always_wake,kappa,0.0,0.0
always_wake,specificity,1.0,0.0
always_wake,mcc,0.0,0.0
always_wake,sleep_onset,0.0,0.0
always_wake,wake_onset,0.0,0.0
always_wake,total_sleep_duration,0.0,0.0
always_wake,net_sleep_duration,0.0,0.0
always_wake,bed_interval_start,0.0,0.0
always_wake,bed_interval_end,0.0,0.0
always_wake,sleep_efficiency,0.0,0.0
always_wake,sleep_onset_latency,0.0,0.0
always_wake,getup_latency,0.0,0.0
always_wake,wake_after_sleep_onset,0.0,0.0
always_sleep,accuracy,0.6842341267005042,0.11572707607098788
always_sleep,precision,0.6842341267005042,0.11572707607098788
always_sleep,recall,1.0,0.0
always_sleep,f1,0.8065957110573774,0.08676907251773458
always_sleep,kappa,0.0,0.0
always_sleep,specificity,0.0,0.0
always_sleep,mcc,0.0,0.0
always_sleep,sleep_onset,76.62165178571429,71.76207382854528
always_sleep,wake_onset,1045.734375,159.86364574363657
always_sleep,total_sleep_duration,970.1127232142857,160.53393318504575
always_sleep,net_sleep_duration,970.1127232142857,160.53393318504575
always_sleep,bed_interval_start,76.62165178571429,71.76207382854528
always_sleep,bed_interval_end,1045.734375,159.86364574363657
always_sleep,sleep_efficiency,100.0,0.0
always_sleep,sleep_onset_latency,0.0,0.0
always_sleep,getup_latency,0.0,0.0
always_sleep,wake_after_sleep_onset,0.0,0.0
ground_truth,accuracy,1.0,0.0
ground_truth,precision,1.0,0.0
ground_truth,recall,1.0,0.0
ground_truth,f1,1.0,0.0
ground_truth,kappa,1.0,0.0
ground_truth,specificity,1.0,0.0
ground_truth,mcc,1.0,0.0
ground_truth,sleep_onset,136.33816964285714,102.06002470119816
ground_truth,wake_onset,1040.2935267857142,160.16941380944695
ground_truth,total_sleep_duration,970.1127232142857,160.53393318504575
ground_truth,net_sleep_duration,741.7421875,148.38614673293665
ground_truth,bed_interval_start,76.62165178571429,71.76207382854528
ground_truth,bed_interval_end,1045.734375,159.86364574363657
ground_truth,sleep_efficiency,76.94069580189773,12.112745714963609
ground_truth,sleep_onset_latency,59.716517857142854,85.67994227926657
ground_truth,getup_latency,5.440848214285714,22.454345113479917
ground_truth,wake_after_sleep_onset,147.54910714285714,106.34915531959219
